id,title,task_type,priority,status,description,expected_behavior,eta_date,deadline,created_at,started_at,completed_at
96,"Outbound customer notifications: Order confirmation",Feature,High,Completed,"Please check the preview email of Order confirmation template.
Changes we want:
1. Fix the issue of broken CFI logo
2. Don't use emoji
3. Move up ""DELIVERY & PAYMENT"" in our new template up before item lines
4. Add below KaTom alert into our template as well. The KaTom email also fwd to you (KaTom Order 4699655).
Order Status Alert	
Not all items will be charged and shipped together. Items ship based on availability. Charges will appear as ""KaTom Restaurant Supply"" on your credit card statement.","",,,"2026-05-21 22:26:39",,"2026-08-03 22:37:54"
97,"Outbound customer notifications: Shipping confirmation",Feature,Medium,Completed,"Please check the preview email of Shipping confirmation template and also our current template.
Changes we want:
1. Fix the issue of broken CFI logo
2. Don't use emoji
3. Move up ""SHIPPING TO"" section in new template up before item lines
4. Item lines are broken in new template. In our current template it's working.
5. We want to keep the content of Shipping Policy in our current template.
6. Fwd KaTom shipping related email for reference (KaTom Order #KT13300925)
","",,,"2026-05-21 22:49:40",,"2026-07-28 22:03:00"
98,"WSH updated integration with Price Box",Feature,Medium,Pending,"We're implementing WSH new feature ""Volume discount"" which requires the new integration. The WSH team completed theme is ""Celebrate-festival-PT - preWPD -- WPD_BDR"".

The update integration broke the Price Box as shown attached. Please help us:
1. Recover the broken Price Box UI
2. Improve the new ""Volume discount"" box, also attached how webrestaurant configure it in SPP.

Use this product to test:
https://celebratefestivalinc.com/products/ariane-cruise-amalfi-9-round-porcelain-deep-plate-case-of-12?variant=44934375637037","",,,"2026-05-27 18:32:44",,
99,"Add SGS Certificate into Metafields >> Product Certificates (JSON format)",Feature,High,Completed,"Need to configure the SGS certificate into Product Certificates metafields. Check the SGS icon in attachment.

This is metafields link
https://admin.shopify.com/store/celebratefestivalinc/settings/custom_data/product/metafields/165983223853","",,,"2026-06-03 23:13:10",,"2026-06-04 16:38:01"
100,"Free Shipping Badge on Category Page","UI Change",High,Completed,"","Now the free_shipping metafield badge only shows up in SPP. 
Need the badge present on collective products page, like category page, search page, vendor page and etc.",,,"2026-07-16 20:54:07",,"2026-07-27 15:45:06"
101,"AI ChatBot implemetation",Feature,High,Pending,"","Please implement your AI Kitchen Consultant to our page, we'll ask some customers to test it out.
Ideal Situation: the chat history for the same customer is stored under his profile data and AI remember it.",,,"2026-07-16 20:59:42",,
102,"Rebate Interface",Feature,Medium,Pending,"Can we design an interface/workflow for Rebate? Below collection include products eligible for rebates. Basic logic is when any product is added in the Shopify Invoice, we get reminded that product is eligible.

Collection Name: ""Rebates Eligible Products: California""
URL: https://celebratefestivalinc.com/collections/rebates-eligible-products-california

","",,,"2026-07-16 21:49:06",,
103,"Klaviyo Marketing Strategy",Feature,Low,Pending,"This task is only a reminder to present us the Klaviyo strategy you mentioned in the meeting. Need to see improvements","",,,"2026-07-16 22:16:45",,
104,"Contact Us button in SPP",Bug,High,Completed,"","For 0 priced SPP, we want side by side 2 buttons: Contact Us & Save to Wishlist. Contact Us should be more prominent and leading to contact us page.
After clicking Contact Us, give options to either call or send message with prefilled customer info.",,,"2026-07-24 16:33:58","2026-07-27 15:01:12","2026-07-28 17:58:47"
105,"Add more Use Case industry pages. (refer to Task #95 for template detail)",Feature,Medium,Completed,"Apply cf-industry-hub template to all industry use-case pages listed on the homepage, modeled on the Grocery Store page Jielin built.

COMPLETED (2026-08-04):
• Pizza Restaurants (/pages/cf-pizza-restaurants)
• Italian Restaurants (/pages/cf-italian-restaurants)
• French Bistros (/pages/cf-french-bistros)
• Fast Casual (/pages/cf-fast-casual)
• Indian Restaurants (/pages/cf-indian-restaurants)
• Bakeries & Cafes (/pages/cf-bakery-cafe)
• Hotels & Banquets (/pages/cf-hotels-banquets) — new page created
• Food Trucks & Catering (/pages/cf-food-trucks-catering) — new page created

Each page has a dedicated template JSON (not shared). Pre-filled with: hero title & lead, 3 equipment sections with descriptions/bullets/collection links, 6 store-type sub-cards, 3 buying guide placeholders, 5 brand slots. Homepage updated — Hotels & Food Trucks now link to their dedicated pages.","Each page opens in the Shopify Theme Editor showing a fully structured cf-industry-hub layout. Jielin can open any page and replace the pre-filled content (titles, descriptions, bullet points, collection handles, brand names) without needing to add any new sections or blocks from scratch.",,,"2026-07-27 18:49:36",,"2026-08-06 17:52:05"
106,"Outbound customer notifications: Out for delivery",Feature,Low,Pending,"Please check the forwarded preview email of Out for delivery template.

Changes we want:
1. Fix the issue of broken CFI logo
2. Don't use emoji
3. Move up ""SHIPPING TO"" section in new template up before item lines
4. Item lines are blank. Please at least include image, title, quantity.
5. Add content of Delivery checking Policy.","",,,"2026-07-28 22:56:30",,
107,"Outbound customer notifications: Order Delivered",Feature,Low,Pending,"Please check the forwarded preview email of Order Delivered template.

Changes we want:

1. Fix the issue of broken CFI logo
2. Don't use emoji
3. Add ""SHIPPING TO"" section in new template up before item lines
4. Item lines are blank. Please at least include image, title, quantity.
5. Add content of Delivery checking Policy.","",,,"2026-07-28 23:00:44",,
108,"Brands Page — hardcode A-Z grid for instant load",Feature,Medium,Completed,"The All Brands A-Z grid was loading slowly because JavaScript was paginating through /products.json on every cache miss (fetching 250 products per call across multiple pages) to collect vendor names before rendering anything.

Fix implemented (2026-08-04):
- Replaced the JS vendor-fetch with a hardcoded Liquid brand list (189 brands)
- All Brands grid and sidebar now render server-side — HTML arrives fully built in the page response
- Zero API calls, zero JS fetching on page load
- Alphabet filter (A-Z buttons) kept as JS — just show/hide, no network calls
- hidden_vendors section setting still works (checked in Liquid at render time)

Trade-off: if a new vendor is added to Shopify, they wont appear on the brands page automatically. Someone needs to add one line to the brand list in theme code.","The /pages/brands page (All Brands A-Z section) should load instantly on first visit — no loading spinner, no delay before the grid appears. The alphabet filter buttons should still work to filter visible brand cards.",,,"2026-08-04 17:06:46",,"2026-08-06 17:50:22"
109,"L2 Mega collections for all L2 category pages",Bug,Medium,Pending,"As per dicussed, switch current L2 categories to Mega collections. Check doc for corresponding L2 Mega Collection names.

https://docs.google.com/spreadsheets/d/19WAAJIaE4FtQTUkML5om_n0B4jKMXDucmI_pI92T7wg/edit?usp=drive_link","",,,"2026-08-04 22:59:17",,
